"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"New York"	"36"	"Albany County, NY"	"36001"	"2006"	"2006"	19	303997	Unreliable
	"New York"	"36"	"Albany County, NY"	"36001"	"2007"	"2007"	36	303858	11.8
	"New York"	"36"	"Albany County, NY"	"36001"	"2008"	"2008"	30	303739	9.9
	"New York"	"36"	"Albany County, NY"	"36001"	"2009"	"2009"	18	304733	Unreliable
	"New York"	"36"	"Albany County, NY"	"36001"	"2010"	"2010"	26	304204	8.5
	"New York"	"36"	"Albany County, NY"	"36001"	"2011"	"2011"	30	303565	9.9
	"New York"	"36"	"Albany County, NY"	"36001"	"2012"	"2012"	27	305455	8.8
	"New York"	"36"	"Albany County, NY"	"36001"	"2013"	"2013"	36	306945	11.7
	"New York"	"36"	"Albany County, NY"	"36001"	"2014"	"2014"	38	308171	12.3
	"New York"	"36"	"Allegany County, NY"	"36003"	"2006"	"2006"	Suppressed	49359	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2007"	"2007"	Suppressed	49079	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2008"	"2008"	Suppressed	49177	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2009"	"2009"	Suppressed	48969	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2010"	"2010"	Suppressed	48946	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2011"	"2011"	Suppressed	48778	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2012"	"2012"	Suppressed	48357	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2013"	"2013"	Suppressed	48109	Suppressed
	"New York"	"36"	"Allegany County, NY"	"36003"	"2014"	"2014"	Suppressed	47736	Suppressed
	"New York"	"36"	"Bronx County, NY"	"36005"	"2006"	"2006"	193	1348164	14.3
	"New York"	"36"	"Bronx County, NY"	"36005"	"2007"	"2007"	173	1354056	12.8
	"New York"	"36"	"Bronx County, NY"	"36005"	"2008"	"2008"	137	1363488	10.0
	"New York"	"36"	"Bronx County, NY"	"36005"	"2009"	"2009"	134	1376261	9.7
	"New York"	"36"	"Bronx County, NY"	"36005"	"2010"	"2010"	111	1385108	8.0
	"New York"	"36"	"Bronx County, NY"	"36005"	"2011"	"2011"	134	1392002	9.6
	"New York"	"36"	"Bronx County, NY"	"36005"	"2012"	"2012"	165	1408473	11.7
	"New York"	"36"	"Bronx County, NY"	"36005"	"2013"	"2013"	155	1418733	10.9
	"New York"	"36"	"Bronx County, NY"	"36005"	"2014"	"2014"	141	1438159	9.8
	"New York"	"36"	"Broome County, NY"	"36007"	"2006"	"2006"	Suppressed	200905	Suppressed
	"New York"	"36"	"Broome County, NY"	"36007"	"2007"	"2007"	12	200877	Unreliable
	"New York"	"36"	"Broome County, NY"	"36007"	"2008"	"2008"	15	201029	Unreliable
	"New York"	"36"	"Broome County, NY"	"36007"	"2009"	"2009"	15	200935	Unreliable
	"New York"	"36"	"Broome County, NY"	"36007"	"2010"	"2010"	18	200600	Unreliable
	"New York"	"36"	"Broome County, NY"	"36007"	"2011"	"2011"	24	199031	12.1
	"New York"	"36"	"Broome County, NY"	"36007"	"2012"	"2012"	21	198060	10.6
	"New York"	"36"	"Broome County, NY"	"36007"	"2013"	"2013"	33	197534	16.7
	"New York"	"36"	"Broome County, NY"	"36007"	"2014"	"2014"	38	197349	19.3
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2006"	"2006"	Suppressed	81342	Suppressed
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2007"	"2007"	Suppressed	81056	Suppressed
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2008"	"2008"	Suppressed	80761	Suppressed
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2009"	"2009"	Suppressed	80491	Suppressed
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2010"	"2010"	Suppressed	80317	Suppressed
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2011"	"2011"	Suppressed	79832	Suppressed
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2012"	"2012"	10	79458	Unreliable
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2013"	"2013"	Suppressed	78892	Suppressed
	"New York"	"36"	"Cattaraugus County, NY"	"36009"	"2014"	"2014"	Suppressed	78600	Suppressed
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2006"	"2006"	Suppressed	80892	Suppressed
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2007"	"2007"	Suppressed	80629	Suppressed
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2008"	"2008"	Suppressed	80482	Suppressed
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2009"	"2009"	Suppressed	80172	Suppressed
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2010"	"2010"	Suppressed	80026	Suppressed
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2011"	"2011"	12	79738	Unreliable
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2012"	"2012"	Suppressed	79552	Suppressed
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2013"	"2013"	15	79477	Unreliable
	"New York"	"36"	"Cayuga County, NY"	"36011"	"2014"	"2014"	Suppressed	78823	Suppressed
	"New York"	"36"	"Chautauqua County, NY"	"36013"	"2006"	"2006"	Suppressed	135640	Suppressed
	"New York"	"36"	"Chautauqua County, NY"	"36013"	"2007"	"2007"	16	135481	Unreliable
	"New York"	"36"	"Chautauqua County, NY"	"36013"	"2008"	"2008"	17	135229	Unreliable
